Name,Rank,Fire Department,Date of Death,Location on Memorial
Carmen Russo,Firefighter,Rochester Fire Department,03/10/1987,11 Top
Casimir Klubek,Firefighter,Lackawanna Fire Department,07/08/1977,  8 Top
"C. Clifford Preisigke, III",Firefighter,Buffalo Fire Department,04/13/1985,12 Top
Ceasar J. Macari,Firefighter,New York City Fire Department,01/24/1939,17 Top
Charles A. Cook,Firefighter,Troy Fire Department,07/27/1900,13 Bottom
Charles A. Dunbar,Firefighter,Rochester Fire Department,02/06/1949,15 Top
Charles A. Hickey,Firefighter,New York City Fire Department,09/22/1945,16 Top
Charles A. Kruger,Deputy Chief,New York City Fire Department,02/14/1908,  6 Bottom
"Charles A. Stenvall, Jr.",Firefighter,New York City Fire Department,10/16/1940,17 Top
Charles A. Widdowson,Captain,Rochester Fire Department,04/29/1932,20 Top
Charles B. Elliott,Firefighter,New York City Fire Department,09/08/1855,18 Bottom
Charles B. Franssen,Firefighter,New York City Fire Department,05/24/1919,  1 Top
Charles B. Osborn,Firefighter,Valatie Fire Department,06/01/1860,17 Bottom
Charles Boynton,1st Assistant Chief,Syracuse Fire Department,02/06/1939,17 Top
Charles Brady,Firefighter,Albany Fire Department,03/07/1953,14 Top
Charles Cole,Firefighter,Rexford Fire Department,01/01/1975,  8 Top
Charles Conklin,Ex-Captain,Sea Cliff Fire Department,01/23/1959,14 Top
Charles D. Bangel,Firefighter,Patchogue Fire Department,07/21/1934,19 Top
Charles D. Pickard,Firefighter,Marilla Fire Department,01/21/1985,12 Top
Charles E. Bentley,Firefighter,Elmira Fire Department,01/01/1888,15 Bottom
Charles E. Cooley,Firefighter,White Plains Fire Department,02/03/1907,  6 Bottom
"Charles E. H. Lauber, Jr.",Commissioner,Smithtown Fire Department,12/24/2000,14 Bottom
Charles E. Johnson,Inspector,New York City Fire Department,07/01/1944,  5 Bottom
Charles Elliott,Firefighter,Brentwood Fire Department,05/11/1952,14 Top
Charles E. Marshall,Foreman,Albany Fire Department,12/19/1892,14 Bottom
Charles E. Meadows,Firefighter,New York City Fire Department,08/13/1909,  5 Bottom
Charles E. Owens,Firefighter,Utica Fire Department,02/06/1907,  6 Bottom
Charles E. Parks,Firefighter,New York City Fire Department,11/08/1908,  6 Bottom
Charles F. Daley,Firefighter,Oswego Fire Department,08/26/1944,10 Bottom
Charles F. Hale,Lieutenant,New York City Fire Department,01/12/1962,12 Bottom
Charles F. Moody,Firefighter,Oneida Fire Department,08/08/1959,13 Top
Charles G. Lang,Firefighter,New York City Fire Department,11/22/1961,12 Bottom
Charles G. Rappe,Firefighter,New York City Fire Department,05/18/1932,20 Top
Charles Grieco,Firefighter,New York City Fire Department,03/26/1968,  6 Top
